a, Fruling'
0.755 , 18.5206
0.756 , 18.5204
0.757 , 18.5201
0.758 , 18.5199
0.759 , 18.5197
0.76 , 18.5195
0.761 , 18.5193
0.762 , 18.519
0.763 , 18.5188
0.764 , 18.5186
0.765 , 18.5184
0.766 , 18.5182
0.767 , 18.518
0.768 , 18.5178
0.769 , 18.5176
0.77 , 18.5174
0.771 , 18.5172
0.772 , 18.517
0.773 , 18.5168
0.774 , 18.5166
0.775 , 18.5164
0.776 , 18.5162
0.777 , 18.516
0.778 , 18.5159
0.779 , 18.5157
0.78 , 18.5155
0.781 , 18.5153
0.782 , 18.5152
0.783 , 18.515
0.784 , 18.5148
0.785 , 18.5147
0.786 , 18.5145
0.787 , 18.5144
0.788 , 18.5142
0.789 , 18.5141
0.79 , 18.5139
0.791 , 18.5138
0.792 , 18.5136
0.793 , 18.5135
0.794 , 18.5134
0.795 , 18.5132
0.796 , 18.5131
0.797 , 18.513
0.798 , 18.5129
0.799 , 18.5128
0.8 , 18.5126
0.801 , 18.5125
0.802 , 18.5124
0.803 , 18.5123
0.804 , 18.5122
0.805 , 18.5121
0.806 , 18.512
0.807 , 18.5119
0.808 , 18.5119
0.809 , 18.5118
0.81 , 18.5117
0.811 , 18.5116
0.812 , 18.5115
0.813 , 18.5115
0.814 , 18.5114
0.815 , 18.5114
0.816 , 18.5113
0.817 , 18.5113
0.818 , 18.5112
0.819 , 18.5112
0.82 , 18.5111
0.821 , 18.5111
0.822 , 18.5111
0.823 , 18.511
0.824 , 18.511
0.825 , 18.511
0.826 , 18.511
0.827 , 18.511
0.828 , 18.511
0.829 , 18.511
0.83 , 18.511
0.831 , 18.511
0.832 , 18.511
0.833 , 18.511
0.834 , 18.5111
0.835 , 18.5111
0.836 , 18.5111
0.837 , 18.5112
0.838 , 18.5112
0.839 , 18.5113
0.84 , 18.5113
0.841 , 18.5114
0.842 , 18.5115
0.843 , 18.5115
0.844 , 18.5116
0.845 , 18.5117
0.846 , 18.5118
0.847 , 18.5119
0.848 , 18.512
0.849 , 18.5121
0.85 , 18.5122
0.851 , 18.5123
0.852 , 18.5124
0.853 , 18.5126
0.854 , 18.5127
0.855 , 18.5128
0.856 , 18.513
0.857 , 18.5132
0.858 , 18.5133
0.859 , 18.5135
0.86 , 18.5136
0.861 , 18.5138
0.862 , 18.514
0.863 , 18.5142
0.864 , 18.5144
0.865 , 18.5146
0.866 , 18.5148
0.867 , 18.515
0.868 , 18.5153
0.869 , 18.5155
0.87 , 18.5157
0.871 , 18.516
0.872 , 18.5162
0.873 , 18.5165
0.874 , 18.5168
0.875 , 18.517
0.876 , 18.5173
0.877 , 18.5176
0.878 , 18.5179
0.879 , 18.5182
0.88 , 18.5185
0.881 , 18.5189
0.882 , 18.5192
0.883 , 18.5195
0.884 , 18.5199
0.885 , 18.5202
0.886 , 18.5206
0.887 , 18.521
0.888 , 18.5213
0.889 , 18.5217
0.89 , 18.5221
0.891 , 18.5225
0.892 , 18.5229
0.893 , 18.5234
0.894 , 18.5238
0.895 , 18.5242
0.896 , 18.5247
0.897 , 18.5251
0.898 , 18.5256
0.899 , 18.5261
0.9 , 18.5265
0.901 , 18.527
0.902 , 18.5275
0.903 , 18.5281
0.904 , 18.5286
0.905 , 18.5291
0.906 , 18.5297
0.907 , 18.5302
0.908 , 18.5308
0.909 , 18.5313
0.91 , 18.5319
0.911 , 18.5325
0.912 , 18.5331
0.913 , 18.5337
0.914 , 18.5344
0.915 , 18.535
0.916 , 18.5356
0.917 , 18.5363
0.918 , 18.537
0.919 , 18.5376
0.92 , 18.5383
0.921 , 18.539
0.922 , 18.5398
0.923 , 18.5405
0.924 , 18.5412
0.925 , 18.542
0.926 , 18.5427
0.927 , 18.5435
0.928 , 18.5443
0.929 , 18.5451
0.93 , 18.5459
0.931 , 18.5467
0.932 , 18.5475
0.933 , 18.5484
0.934 , 18.5492
0.935 , 18.5501
0.936 , 18.551
0.937 , 18.5519
0.938 , 18.5528
0.939 , 18.5537
0.94 , 18.5547
0.941 , 18.5556
0.942 , 18.5566
0.943 , 18.5576
0.944 , 18.5586
0.945 , 18.5596
0.946 , 18.5606
0.947 , 18.5616
0.948 , 18.5627
0.949 , 18.5638
0.95 , 18.5648
0.951 , 18.5659
0.952 , 18.5671
0.953 , 18.5682
0.954 , 18.5693
0.955 , 18.5705
0.956 , 18.5717
0.957 , 18.5729
0.958 , 18.5741
0.959 , 18.5753
0.96 , 18.5765
0.961 , 18.5778
0.962 , 18.579
0.963 , 18.5803
0.964 , 18.5816
0.965 , 18.583
0.966 , 18.5843
0.967 , 18.5857
0.968 , 18.587
0.969 , 18.5884
0.97 , 18.5898
0.971 , 18.5913
0.972 , 18.5927
0.973 , 18.5942
0.974 , 18.5957
0.975 , 18.5972
0.976 , 18.5987
0.977 , 18.6002
0.978 , 18.6018
0.979 , 18.6034
0.98 , 18.605
0.981 , 18.6066
0.982 , 18.6082
0.983 , 18.6099
0.984 , 18.6116
0.985 , 18.6133
0.986 , 18.615
0.987 , 18.6168
0.988 , 18.6185
0.989 , 18.6203
0.99 , 18.6221
0.991 , 18.624
0.992 , 18.6258
0.993 , 18.6277
0.994 , 18.6296
0.995 , 18.6315
0.996 , 18.6334
0.997 , 18.6354
0.998 , 18.6374
0.999 , 18.6394
1 , 18.6415
1.001 , 18.6435
1.002 , 18.6456
1.003 , 18.6477
1.004 , 18.6499
1.005 , 18.652
1.006 , 18.6542
1.007 , 18.6564
1.008 , 18.6587
1.009 , 18.6609
1.01 , 18.6632
1.011 , 18.6573
1.012 , 18.6315
1.013 , 18.6057
1.014 , 18.5799
1.015 , 18.5541
1.016 , 18.5282
1.017 , 18.5024
1.018 , 18.4765
1.019 , 18.4506
1.02 , 18.4247
1.021 , 18.3988
1.022 , 18.3729
1.023 , 18.347
1.024 , 18.321
1.025 , 18.2951
1.026 , 18.2691
1.027 , 18.2431
1.028 , 18.2171
1.029 , 18.1911
1.03 , 18.1651
1.031 , 18.1391
1.032 , 18.1131
1.033 , 18.087
1.034 , 18.0609
1.035 , 18.0349
1.036 , 18.0088
1.037 , 17.9827
1.038 , 17.9566
1.039 , 17.9304
1.04 , 17.9043
1.041 , 17.8782
1.042 , 17.852
1.043 , 17.8258
1.044 , 17.7996
1.045 , 17.7734
1.046 , 17.7472
1.047 , 17.721
1.048 , 17.6948
1.049 , 17.6685
1.05 , 17.6423
1.051 , 17.616
1.052 , 17.5897
1.053 , 17.5634
1.054 , 17.5371
1.055 , 17.5108
1.056 , 17.4845
1.057 , 17.4582
1.058 , 17.4318
1.059 , 17.4055
1.06 , 17.3791
1.061 , 17.3527
1.062 , 17.3263
1.063 , 17.2999
1.064 , 17.2735
1.065 , 17.247
1.066 , 17.2206
1.067 , 17.1942
1.068 , 17.1677
1.069 , 17.1412
1.07 , 17.1147
1.071 , 17.0882
1.072 , 17.0617
1.073 , 17.0352
1.074 , 17.0087
1.075 , 16.9821
1.076 , 16.9555
1.077 , 16.929
1.078 , 16.9024
1.079 , 16.8758
1.08 , 16.8492
1.081 , 16.8226
1.082 , 16.796
1.083 , 16.7693
1.084 , 16.7427
1.085 , 16.716
1.086 , 16.6893
1.087 , 16.6627
1.088 , 16.636
1.089 , 16.6093
1.09 , 16.5825
1.091 , 16.5558
1.092 , 16.5291
1.093 , 16.5023
1.094 , 16.4756
1.095 , 16.4488
1.096 , 16.422
1.097 , 16.3952
1.098 , 16.3684
1.099 , 16.3416
1.1 , 16.3148
1.101 , 16.2879
1.102 , 16.2611
1.103 , 16.2342
1.104 , 16.2073
1.105 , 16.1805
1.106 , 16.1536
1.107 , 16.1267
1.108 , 16.0997
1.109 , 16.0728
1.11 , 16.0459
1.111 , 16.0189
1.112 , 15.992
1.113 , 15.965
1.114 , 15.938
1.115 , 15.911
1.116 , 15.884
1.117 , 15.857
1.118 , 15.83
1.119 , 15.8029
1.12 , 15.7759
1.121 , 15.7488
1.122 , 15.7218
1.123 , 15.6947
1.124 , 15.6676
1.125 , 15.6405
1.126 , 15.6134
1.127 , 15.5862
1.128 , 15.5591
1.129 , 15.532
1.13 , 15.5048
1.131 , 15.4776
1.132 , 15.4505
1.133 , 15.4233
1.134 , 15.3961
1.135 , 15.3689
1.136 , 15.3416
1.137 , 15.3144
1.138 , 15.2872
1.139 , 15.2599
1.14 , 15.2327
1.141 , 15.2054
1.142 , 15.1781
1.143 , 15.1508
1.144 , 15.1235
1.145 , 15.0962
1.146 , 15.0689
1.147 , 15.0415
1.148 , 15.0142
1.149 , 14.9868
1.15 , 14.9594
1.151 , 14.9321
1.152 , 14.9047
1.153 , 14.8773
1.154 , 14.8499
1.155 , 14.8224
1.156 , 14.795
1.157 , 14.7676
1.158 , 14.7401
1.159 , 14.7127
1.16 , 14.6852
1.161 , 14.6577
1.162 , 14.6302
1.163 , 14.6027
1.164 , 14.5752
1.165 , 14.5477
1.166 , 14.5201
1.167 , 14.4926
1.168 , 14.465
1.169 , 14.4375
1.17 , 14.4099
1.171 , 14.3823
1.172 , 14.3547
1.173 , 14.3271
1.174 , 14.2995
1.175 , 14.2719
1.176 , 14.2442
1.177 , 14.2166
1.178 , 14.1889
1.179 , 14.1612
1.18 , 14.1336
1.181 , 14.1059
1.182 , 14.0782
1.183 , 14.0505
1.184 , 14.0228
1.185 , 13.995
1.186 , 13.9673
1.187 , 13.9395
1.188 , 13.9118
1.189 , 13.884
1.19 , 13.8562
1.191 , 13.8284
1.192 , 13.8006
1.193 , 13.7728
1.194 , 13.745
1.195 , 13.7172
1.196 , 13.6893
1.197 , 13.6615
1.198 , 13.6336
1.199 , 13.6058
1.2 , 13.5779
1.201 , 13.55
1.202 , 13.5221
1.203 , 13.4942
1.204 , 13.4663
1.205 , 13.4383
1.206 , 13.4104
1.207 , 13.3824
1.208 , 13.3545
1.209 , 13.3265
1.21 , 13.2985
1.211 , 13.2706
1.212 , 13.2426
1.213 , 13.2145
1.214 , 13.1865
1.215 , 13.1585
1.216 , 13.1305
1.217 , 13.1024
1.218 , 13.0744
1.219 , 13.0463
1.22 , 13.0182
1.221 , 12.9901
1.222 , 12.962
1.223 , 12.9339
1.224 , 12.9058
1.225 , 12.8777
1.226 , 12.8495
1.227 , 12.8214
