a, Fruling'
2.08125 , 9.62036
2.08225 , 9.63872
2.08325 , 9.65708
2.08425 , 9.67545
2.08525 , 9.69382
2.08625 , 9.71219
2.08725 , 9.73056
2.08825 , 9.74894
2.08925 , 9.76732
2.09025 , 9.7857
2.09125 , 9.80409
2.09225 , 9.82248
2.09325 , 9.84087
2.09425 , 9.85927
2.09525 , 9.87766
2.09625 , 9.89606
2.09725 , 9.91447
2.09825 , 9.93287
2.09925 , 9.95128
2.10025 , 9.96968
2.10125 , 9.98809
2.10225 , 10.0065
2.10325 , 10.0249
2.10425 , 10.0433
2.10525 , 10.0618
2.10625 , 10.0802
2.10725 , 10.0986
2.10825 , 10.117
2.10925 , 10.1354
2.11025 , 10.1539
2.11125 , 10.1723
2.11225 , 10.1907
2.11325 , 10.2092
2.11425 , 10.2276
2.11525 , 10.246
2.11625 , 10.2644
2.11725 , 10.2829
2.11825 , 10.3013
2.11925 , 10.3197
2.12025 , 10.3382
2.12125 , 10.3566
2.12225 , 10.3751
2.12325 , 10.3935
2.12425 , 10.4119
2.12525 , 10.4304
2.12625 , 10.4488
2.12725 , 10.4672
2.12825 , 10.4857
2.12925 , 10.5041
2.13025 , 10.5226
2.13125 , 10.541
2.13225 , 10.5594
2.13325 , 10.5779
2.13425 , 10.5963
2.13525 , 10.6147
2.13625 , 10.6332
2.13725 , 10.6516
2.13825 , 10.6701
2.13925 , 10.6885
2.14025 , 10.7069
2.14125 , 10.7254
2.14225 , 10.7438
2.14325 , 10.7622
2.14425 , 10.7806
2.14525 , 10.7991
2.14625 , 10.8175
2.14725 , 10.8359
2.14825 , 10.8544
2.14925 , 10.8728
2.15025 , 10.8912
2.15125 , 10.9096
2.15225 , 10.9281
2.15325 , 10.9465
2.15425 , 10.9649
2.15525 , 10.9833
2.15625 , 11.0017
2.15725 , 11.0201
2.15825 , 11.0385
2.15925 , 11.057
2.16025 , 11.0754
2.16125 , 11.0938
2.16225 , 11.1122
2.16325 , 11.1306
2.16425 , 11.149
