a(radian), a(degree) , Eruling, Ebend, Ebend
0.386, 22.1162 , 8.74828, 1391.72, 1
0.387, 22.1735 , 8.74526, 1642.22, 1
0.388, 22.2308 , 8.74223, 1967.21, 1
0.389, 22.2881 , 8.7392, 2399.39, 1
0.39, 22.3454 , 8.73616, 2991.57, 1
0.391, 22.4026 , 8.73311, 3833.6, 1
0.392, 22.4599 , 8.73006, 5088.5, 1
0.393, 22.5172 , 8.727, 7077.63, 1
0.394, 22.5745 , 8.72393, 10508.6, 1
0.395, 22.6318 , 8.72085, 17203, 1
0.396, 22.6891 , 8.71777, 33123.1, 1
0.397, 22.7464 , 8.71468, 88251.5, 1
0.398, 22.8037 , 8.71159, 651021, 1
0.399, 22.861 , 8.70848, 1.27494e+06, 1
0.4, 22.9183 , 8.70537, 110477, 1
0.401, 22.9756 , 8.70226, 38009, 1
0.402, 23.0329 , 8.69913, 19038.3, 1
0.403, 23.0902 , 8.696, 11407.1, 1
0.404, 23.1475 , 8.69286, 7593.82, 1
0.405, 23.2048 , 8.68972, 5418.65, 1
0.406, 23.2621 , 8.68656, 4061.67, 1
0.407, 23.3194 , 8.68341, 3158.5, 1
0.408, 23.3767 , 8.68024, 2527.17, 1
0.409, 23.434 , 8.67707, 2068.54, 1
0.41, 23.4913 , 8.67389, 1724.89, 1
0.411, 23.5486 , 8.6707, 1460.75, 1
0.412, 23.6059 , 8.6675, 1253.33, 1
0.413, 23.6632 , 8.6643, 1087.48, 1
0.414, 23.7205 , 8.6611, 952.772, 1
0.415, 23.7777 , 8.65788, 841.866, 1
0.416, 23.835 , 8.65466, 749.462, 1
0.417, 23.8923 , 8.65143, 671.656, 1
0.418, 23.9496 , 8.64819, 605.525, 1
0.419, 24.0069 , 8.64495, 548.84, 1
0.42, 24.0642 , 8.6417, 499.882, 1
0.421, 24.1215 , 8.63844, 457.306, 1
0.422, 24.1788 , 8.63518, 420.046, 1
0.423, 24.2361 , 8.63191, 387.251, 1
0.424, 24.2934 , 8.62863, 358.234, 1
0.425, 24.3507 , 8.62535, 332.435, 1
0.426, 24.408 , 8.62206, 309.393, 1
0.427, 24.4653 , 8.61876, 288.729, 1
0.428, 24.5226 , 8.61545, 270.125, 1
0.429, 24.5799 , 8.61214, 253.316, 1
0.43, 24.6372 , 8.60882, 238.077, 1
0.431, 24.6945 , 8.6055, 224.217, 1
0.432, 24.7518 , 8.60216, 211.576, 1
0.433, 24.8091 , 8.59882, 200.013, 1
0.434, 24.8664 , 8.59548, 189.409, 1
0.435, 24.9237 , 8.59212, 179.66, 1
0.436, 24.981 , 8.58876, 170.676, 1
0.437, 25.0383 , 8.58539, 162.38, 1
0.438, 25.0956 , 8.58202, 154.702, 1
0.439, 25.1528 , 8.57864, 147.581, 1
0.44, 25.2101 , 8.57525, 140.966, 1
0.441, 25.2674 , 8.57185, 134.81, 1
0.442, 25.3247 , 8.56845, 129.069, 1
0.443, 25.382 , 8.56504, 123.709, 1
0.444, 25.4393 , 8.56163, 118.695, 1
0.445, 25.4966 , 8.55821, 113.998, 1
0.446, 25.5539 , 8.55478, 109.592, 1
0.447, 25.6112 , 8.55134, 105.454, 1
0.448, 25.6685 , 8.5479, 101.561, 1
0.449, 25.7258 , 8.54445, 97.895, 1
0.45, 25.7831 , 8.54099, 94.4384, 1
0.451, 25.8404 , 8.53752, 91.1753, 1
0.452, 25.8977 , 8.53405, 88.0915, 1
0.453, 25.955 , 8.53058, 85.174, 1
0.454, 26.0123 , 8.52709, 82.411, 1
0.455, 26.0696 , 8.5236, 79.7916, 1
0.456, 26.1269 , 8.5201, 77.306, 1
0.457, 26.1842 , 8.5166, 74.9452, 1
0.458, 26.2415 , 8.51309, 72.7009, 1
0.459, 26.2988 , 8.50957, 70.5655, 1
0.46, 26.3561 , 8.50604, 68.532, 1
0.461, 26.4134 , 8.50251, 66.594, 1
0.462, 26.4707 , 8.49897, 64.7455, 1
0.463, 26.5279 , 8.49542, 62.981, 1
0.464, 26.5852 , 8.49187, 61.2956, 1
0.465, 26.6425 , 8.48831, 59.6844, 1
0.466, 26.6998 , 8.48475, 58.1432, 1
0.467, 26.7571 , 8.48117, 56.668, 1
0.468, 26.8144 , 8.47759, 55.2549, 1
0.469, 26.8717 , 8.474, 53.9006, 1
0.47, 26.929 , 8.47041, 52.6017, 1
0.471, 26.9863 , 8.46681, 51.3553, 1
0.472, 27.0436 , 8.4632, 50.1585, 1
0.473, 27.1009 , 8.45959, 49.0075, 1
0.474, 27.1582 , 8.45597, 47.9009, 1
0.475, 27.2155 , 8.45234, 46.8366, 1
0.476, 27.2728 , 8.44871, 45.8124, 1
0.477, 27.3301 , 8.44506, 44.8264, 1
0.478, 27.3874 , 8.44142, 43.8767, 1
0.479, 27.4447 , 8.43776, 42.9615, 1
0.48, 27.502 , 8.4341, 42.079, 1
0.481, 27.5593 , 8.43043, 41.2279, 1
0.482, 27.6166 , 8.42675, 40.4065, 1
0.483, 27.6739 , 8.42307, 39.6136, 1
0.484, 27.7312 , 8.41938, 38.8477, 1
0.485, 27.7885 , 8.41569, 38.1078, 1
0.486, 27.8457 , 8.41199, 37.3925, 1
0.487, 27.903 , 8.40828, 36.7008, 1
0.488, 27.9603 , 8.40456, 36.0317, 1
0.489, 28.0176 , 8.40084, 35.3843, 1
0.49, 28.0749 , 8.39711, 34.7575, 1
0.491, 28.1322 , 8.39337, 34.1505, 1
0.492, 28.1895 , 8.38963, 33.5624, 1
0.493, 28.2468 , 8.38588, 32.9925, 1
0.494, 28.3041 , 8.38212, 32.4401, 1
0.495, 28.3614 , 8.37836, 31.9044, 1
0.496, 28.4187 , 8.37459, 31.3848, 1
0.497, 28.476 , 8.37081, 30.8806, 1
0.498, 28.5333 , 8.36703, 30.3912, 1
0.499, 28.5906 , 8.36324, 29.916, 1
0.5, 28.6479 , 8.35944, 29.4545, 1
0.501, 28.7052 , 8.35564, 29.0062, 1
0.502, 28.7625 , 8.35183, 28.5705, 1
0.503, 28.8198 , 8.34801, 28.1471, 1
0.504, 28.8771 , 8.34418, 27.7354, 1
0.505, 28.9344 , 8.34035, 27.335, 1
0.506, 28.9917 , 8.33652, 26.9455, 1
0.507, 29.049 , 8.33267, 26.5665, 1
0.508, 29.1063 , 8.32882, 26.1977, 1
0.509, 29.1636 , 8.32496, 25.8387, 1
0.51, 29.2208 , 8.3211, 25.4891, 1
0.511, 29.2781 , 8.31723, 25.1486, 1
0.512, 29.3354 , 8.31335, 24.8169, 1
0.513, 29.3927 , 8.30946, 24.4937, 1
0.514, 29.45 , 8.30557, 24.1788, 1
0.515, 29.5073 , 8.30167, 23.8717, 1
0.516, 29.5646 , 8.29777, 23.5724, 1
0.517, 29.6219 , 8.29386, 23.2805, 1
0.518, 29.6792 , 8.28994, 22.9958, 1
0.519, 29.7365 , 8.28601, 22.7181, 1
0.52, 29.7938 , 8.28208, 22.447, 1
0.521, 29.8511 , 8.27814, 22.1826, 1
0.522, 29.9084 , 8.2742, 21.9244, 1
0.523, 29.9657 , 8.27025, 21.6724, 1
0.524, 30.023 , 8.26629, 21.4263, 1
