a, Eruling, Fbend,
3.41,4.71982,13.0778,1
3.411,4.71863,13.0088,1
3.412,4.71743,12.9414,1
3.413,4.71624,12.8757,1
3.414,4.71504,12.8116,1
3.415,4.71385,12.749,1
3.416,4.71265,12.688,1
3.417,4.71145,12.6285,1
3.418,4.71024,12.5706,1
3.419,4.70904,12.5141,1
3.42,4.70784,12.459,1
3.421,4.70663,12.4054,1
3.422,4.70542,12.3531,1
3.423,4.70421,12.3023,1
3.424,4.703,12.2528,1
3.425,4.70179,12.2046,1
3.426,4.70057,12.1578,1
3.427,4.69936,12.1122,1
3.428,4.69814,12.0679,1
3.429,4.69692,12.0249,1
3.43,4.6957,11.9831,1
3.431,4.69448,11.9425,1
3.432,4.69325,11.9032,1
3.433,4.69203,11.865,1
3.434,4.6908,11.828,1
3.435,4.68957,11.7921,1
3.436,4.68834,11.7574,1
3.437,4.68711,11.7238,1
3.438,4.68588,11.6913,1
3.439,4.68464,11.66,1
3.44,4.68341,11.6297,1
3.441,4.68217,11.6005,1
3.442,4.68093,11.5723,1
3.443,4.67969,11.5453,1
3.444,4.67845,11.5192,1
3.445,4.6772,11.4942,1
3.446,4.67596,11.4702,1
3.447,4.67471,11.4472,1
3.448,4.67346,11.4252,1
3.449,4.67221,11.4042,1
3.45,4.67096,11.3842,1
3.451,4.6697,11.3652,1
3.452,4.66845,11.3471,1
3.453,4.66719,11.33,1
3.454,4.66593,11.3139,1
3.455,4.66467,11.2987,1
3.456,4.66341,11.2844,1
3.457,4.66214,11.2711,1
3.458,4.66088,11.2587,1
3.459,4.65961,11.2472,1
3.46,4.65834,11.2366,1
3.461,4.65707,11.227,1
3.462,4.6558,11.2182,1
3.463,4.65453,11.2104,1
3.464,4.65325,11.2034,1
3.465,4.65198,11.1974,1
3.466,4.6507,11.1922,1
3.467,4.64942,11.188,1
3.468,4.64814,11.1846,1
3.469,4.64685,11.1821,1
3.47,4.64557,11.1805,1
3.471,4.64428,11.1798,1
3.472,4.64299,11.1799,1
3.473,4.6417,11.1809,1
3.474,4.64041,11.1828,1
3.475,4.63912,11.1856,1
3.476,4.63782,11.1892,1
3.477,4.63652,11.1938,1
3.478,4.63522,11.1992,1
3.479,4.63392,11.2054,1
3.48,4.63262,11.2126,1
3.481,4.63132,11.2206,1
3.482,4.63001,11.2295,1
3.483,4.62871,11.2393,1
3.484,4.6274,11.2499,1
3.485,4.62609,11.2614,1
3.486,4.62477,11.2739,1
3.487,4.62346,11.2872,1
3.488,4.62214,11.3014,1
3.489,4.62083,11.3165,1
3.49,4.61951,11.3324,1
3.491,4.61819,11.3493,1
3.492,4.61686,11.3671,1
3.493,4.61554,11.3858,1
3.494,4.61421,11.4054,1
3.495,4.61288,11.4259,1
3.496,4.61156,11.4474,1
3.497,4.61022,11.4697,1
3.498,4.60889,11.493,1
3.499,4.60756,11.5172,1
3.5,4.60622,11.5424,1
3.501,4.60488,11.5686,1
3.502,4.60354,11.5956,1
3.503,4.6022,11.6237,1
3.504,4.60085,11.6527,1
3.505,4.59951,11.6827,1
3.506,4.59816,11.7137,1
3.507,4.59681,11.7457,1
3.508,4.59546,11.7787,1
3.509,4.59411,11.8127,1
3.51,4.59275,11.8477,1
3.511,4.5914,11.8838,1
3.512,4.59004,11.9209,1
3.513,4.58868,11.9591,1
