a, Fruling, Fbend
3.58259,4.4894,18.3897
3.58359,4.4879,18.5657
3.58459,4.48641,18.7455
3.58559,4.48491,18.9292
3.58659,4.4834,19.1168
3.58759,4.4819,19.3084
3.58859,4.48039,19.5041
3.58959,4.47888,19.7041
3.59059,4.47737,19.9085
3.59159,4.47586,20.1173
3.59259,4.47434,20.3307
3.59359,4.47283,20.5488
3.59459,4.47131,20.7718
3.59559,4.46979,20.9997
3.59659,4.46826,21.2327
3.59759,4.46674,21.471
3.59859,4.46521,21.7146
3.59959,4.46368,21.9637
3.60059,4.46215,22.2186
3.60159,4.46061,22.4793
3.60259,4.45908,22.746
3.60359,4.45754,23.0189
3.60459,4.456,23.2982
3.60559,4.45446,23.584
3.60659,4.45291,23.8765
3.60759,4.45136,24.176
3.60859,4.44982,24.4827
3.60959,4.44826,24.7967
3.61059,4.44671,25.1183
3.61159,4.44515,25.4477
3.61259,4.4436,25.7852
3.61359,4.44204,26.131
3.61459,4.44047,26.4854
3.61559,4.43891,26.8486
3.61659,4.43734,27.221
3.61759,4.43577,27.6027
3.61859,4.4342,27.9942
3.61959,4.43263,28.3958
3.62059,4.43105,28.8077
3.62159,4.42948,29.2304
3.62259,4.4279,29.6641
3.62359,4.42631,30.1093
3.62459,4.42473,30.5664
3.62559,4.42314,31.0357
3.62659,4.42155,31.5177
3.62759,4.41996,32.0128
3.62859,4.41837,32.5215
3.62959,4.41677,33.0444
3.63059,4.41518,33.5818
3.63159,4.41358,34.1343
3.63259,4.41197,34.7025
3.63359,4.41037,35.287
3.63459,4.40876,35.8884
3.63559,4.40715,36.5072
3.63659,4.40554,37.1443
3.63759,4.40393,37.8002
3.63859,4.40231,38.4758
3.63959,4.40069,39.1717
3.64059,4.39907,39.8889
3.64159,4.39745,40.6281
3.64259,4.39582,41.3902
3.64359,4.39419,42.1762
3.64459,4.39256,42.9871
3.64559,4.39093,43.8239
3.64659,4.3893,44.6878
3.64759,4.38766,45.5798
3.64859,4.38602,46.5011
3.64959,4.38438,47.4532
3.65059,4.38273,48.4372
3.65159,4.38109,49.4547
3.65259,4.37944,50.5072
3.65359,4.37779,51.5962
3.65459,4.37613,52.7235
3.65559,4.37448,53.8908
3.65659,4.37282,55.1
3.65759,4.37116,56.3532
3.65859,4.36949,57.6524
3.65959,4.36783,58.9999
3.66059,4.36616,60.3981
3.66159,4.36449,61.8496
3.66259,4.36282,63.3571
3.66359,4.36114,64.9234
3.66459,4.35946,66.5516
3.66559,4.35778,68.2451
3.66659,4.3561,70.0072
3.66759,4.35442,71.8418
3.66859,4.35273,73.7528
3.66959,4.35104,75.7445
3.67059,4.34935,77.8214
3.67159,4.34765,79.9885
3.67259,4.34595,82.2509
3.67359,4.34425,84.6145
3.67459,4.34255,87.0851
3.67559,4.34085,89.6693
3.67659,4.33914,92.3742
3.67759,4.33743,95.2074
3.67859,4.33572,98.1769
3.67959,4.334,101.292
3.68059,4.33228,104.561
3.68159,4.33056,107.996
3.68259,4.32884,111.608
3.68359,4.32712,115.408
3.68459,4.32539,119.41
3.68559,4.32366,123.628
3.68659,4.32193,128.079
3.68759,4.32019,132.779
3.68859,4.31845,137.748
3.68959,4.31671,143.006
3.69059,4.31497,148.577
3.69159,4.31322,154.484
3.69259,4.31148,160.757
3.69359,4.30973,167.425
3.69459,4.30797,174.522
3.69559,4.30622,182.085
3.69659,4.30446,190.157
3.69759,4.3027,198.784
3.69859,4.30093,208.018
3.69959,4.29908,225.568
3.70059,4.29578,236.147
3.70159,4.29247,247.53
3.70259,4.28915,259.799
3.70359,4.28584,273.049
3.70459,4.28251,287.385
3.70559,4.27919,302.929
3.70659,4.27586,319.82
3.70759,4.27253,338.216
3.70859,4.2692,358.301
3.70959,4.26586,380.287
3.71059,4.26251,404.42
3.71159,4.25917,430.989
3.71259,4.25582,460.329
3.71359,4.25246,492.841
3.71459,4.24911,528.994
3.71559,4.24575,569.353
3.71659,4.24238,614.594
3.71759,4.23901,665.534
3.71859,4.23564,723.169
3.71959,4.23227,788.724
3.72059,4.22889,863.715
3.72159,4.22551,950.04
3.72259,4.22212,1050.1
3.72359,4.21873,1166.96
3.72459,4.21534,1304.59
3.72559,4.21194,1468.23
3.72659,4.20854,1664.85
3.72759,4.20514,1903.94
