a(radian),a(degree),Eruling, Ebend, Eparalell,
1.542,88.3501,30.665,2.26142,2.81578,1
1.543,88.4074,30.6598,2.25947,2.81406,1
1.544,88.4647,30.6547,2.25753,2.81234,1
1.545,88.522,30.6495,2.2556,2.8106,1
1.546,88.5793,30.6444,2.25366,2.80886,1
1.547,88.6366,30.6392,2.25173,2.80712,1
1.548,88.6939,30.634,2.24981,2.80536,1
1.549,88.7512,30.6288,2.24788,2.8036,1
1.55,88.8085,30.6236,2.24596,2.80183,1
1.551,88.8658,30.6184,2.24405,2.80006,1
1.552,88.923,30.6131,2.24213,2.79828,1
1.553,88.9803,30.6079,2.24022,2.79649,1
1.554,89.0376,30.6027,2.23832,2.79469,1
1.555,89.0949,30.5974,2.23641,2.79288,1
1.556,89.1522,30.5922,2.23451,2.79107,1
1.557,89.2095,30.5869,2.23261,2.78925,1
1.558,89.2668,30.5816,2.23072,2.78743,1
1.559,89.3241,30.5763,2.22883,2.78559,1
1.56,89.3814,30.571,2.22694,2.78375,1
1.561,89.4387,30.5657,2.22506,2.7819,1
1.562,89.496,30.5604,2.22318,2.78005,1
1.563,89.5533,30.555,2.2213,2.77818,1
1.564,89.6106,30.5497,2.21942,2.77631,1
1.565,89.6679,30.5444,2.21755,2.77443,1
1.566,89.7252,30.539,2.21568,2.77255,1
1.567,89.7825,30.5336,2.21382,2.77065,1
1.568,89.8398,30.5283,2.21196,2.76875,1
1.569,89.8971,30.5229,2.2101,2.76684,1
1.57,89.9544,30.5175,2.20824,2.76492,1
1.571,90.0117,30.5121,2.20639,2.763,1
1.572,90.069,30.5067,2.20454,2.76106,1
1.573,90.1263,30.5012,2.20269,2.75912,1
1.574,90.1836,30.4958,2.20085,2.75717,1
1.575,90.2409,30.4903,2.19901,2.75521,1
1.576,90.2981,30.4849,2.19717,2.75325,1
1.577,90.3554,30.4794,2.19534,2.75127,1
1.578,90.4127,30.4739,2.19351,2.74929,1
1.579,90.47,30.4685,2.19168,2.7473,1
1.58,90.5273,30.463,2.18986,2.7453,1
1.581,90.5846,30.4575,2.18803,2.74329,1
1.582,90.6419,30.4519,2.18621,2.74127,1
1.583,90.6992,30.4464,2.1844,2.73925,1
1.584,90.7565,30.4409,2.18259,2.73721,1
1.585,90.8138,30.4353,2.18078,2.73517,1
1.586,90.8711,30.4298,2.17897,2.73312,1
1.587,90.9284,30.4242,2.17717,2.73106,1
1.588,90.9857,30.4186,2.17537,2.72899,1
1.589,91.043,30.4131,2.17357,2.72692,1
1.59,91.1003,30.4075,2.17178,2.72483,1
1.591,91.1576,30.4018,2.16998,2.72274,1
1.592,91.2149,30.3962,2.1682,2.72063,1
1.593,91.2722,30.3906,2.16641,2.71852,1
1.594,91.3295,30.385,2.16463,2.7164,1
1.595,91.3868,30.3793,2.16285,2.71427,1
1.596,91.4441,30.3737,2.16107,2.71213,1
1.597,91.5014,30.368,2.1593,2.70998,1
1.598,91.5587,30.3623,2.15753,2.70782,1
1.599,91.616,30.3566,2.15576,2.70565,1
1.6,91.6732,30.3509,2.154,2.70347,1
1.601,91.7305,30.3452,2.15223,2.70129,1
1.602,91.7878,30.3395,2.15047,2.69909,1
1.603,91.8451,30.3338,2.14872,2.69688,1
1.604,91.9024,30.328,2.14697,2.69467,1
1.605,91.9597,30.3223,2.14522,2.69244,1
1.606,92.017,30.3165,2.14347,2.69021,1
1.607,92.0743,30.3107,2.14172,2.68796,1
1.608,92.1316,30.3049,2.13998,2.68571,1
1.609,92.1889,30.2991,2.13824,2.68344,1
1.61,92.2462,30.2933,2.13651,2.68117,1
1.611,92.3035,30.2875,2.13478,2.67888,1
1.612,92.3608,30.2817,2.13305,2.67659,1
1.613,92.4181,30.2758,2.13132,2.67428,1
1.614,92.4754,30.27,2.1296,2.67197,1
1.615,92.5327,30.2641,2.12787,2.66964,1
1.616,92.59,30.2583,2.12616,2.66731,1
1.617,92.6473,30.2524,2.12444,2.66496,1
