a, Eruling, Ebend
3.66159 , 290.197, 9453.51
3.66259 , 290.172, 8036.81
3.66359 , 290.147, 7196.07
3.66459 , 290.122, 6770.14
3.66559 , 290.098, 6688.74
3.66659 , 290.073, 6944.91
3.66759 , 290.048, 7593.35
3.66859 , 290.024, 8774.08
3.66959 , 289.999, 10779.9
3.67059 , 289.974, 14231.1
3.67159 , 289.949, 20572
3.67259 , 289.924, 33772.9
3.67359 , 289.9, 68223.7
3.67459 , 289.875, 213270
3.67559 , 289.85, 4.37592e+06
3.67659 , 289.825, 679331
3.67759 , 289.801, 119447
3.67859 , 289.776, 48272
3.67959 , 289.751, 26184.6
3.68059 , 289.726, 16549.1
3.68159 , 289.701, 11489.9
3.68259 , 289.677, 8502.14
3.68359 , 289.652, 6587.64
3.68459 , 289.627, 5284.95
3.68559 , 289.602, 4356.77
3.68659 , 289.578, 3670.87
3.68759 , 289.553, 3148.8
3.68859 , 289.528, 2741.61
3.68959 , 289.504, 2417.45
3.69059 , 289.479, 2154.86
3.69159 , 289.454, 1938.94
3.69259 , 289.43, 1759.1
3.69359 , 289.405, 1607.62
3.69459 , 289.38, 1478.75
3.69559 , 289.356, 1368.18
3.69659 , 289.331, 1272.57
3.69759 , 289.307, 1189.34
3.69859 , 289.282, 1116.47
3.69959 , 289.258, 1052.32
3.70059 , 289.233, 995.592
3.70159 , 289.209, 945.231
3.70259 , 289.185, 900.367
3.70359 , 289.16, 860.287
3.70459 , 289.136, 824.395
3.70559 , 289.112, 792.197
3.70659 , 289.087, 763.276
3.70759 , 289.063, 737.282
3.70859 , 289.039, 713.917
3.70959 , 289.015, 692.928
3.71059 , 288.991, 674.103
3.71159 , 288.967, 657.257
3.71259 , 288.943, 642.237
3.71359 , 288.919, 628.911
3.71459 , 288.895, 617.166
3.71559 , 288.871, 606.911
3.71659 , 288.847, 598.069
3.71759 , 288.824, 590.576
3.71859 , 288.8, 584.384
3.71959 , 288.776, 579.455
3.72059 , 288.753, 575.764
3.72159 , 288.729, 573.297
3.72259 , 288.706, 572.05
3.72359 , 288.683, 572.031
3.72459 , 288.659, 573.26
3.72559 , 288.636, 575.765
3.72659 , 288.613, 579.591
3.72759 , 288.59, 584.793
3.72859 , 288.567, 591.441
3.72959 , 288.544, 599.623
3.73059 , 288.521, 609.442
3.73159 , 288.498, 621.026
3.73259 , 288.476, 634.521
3.73359 , 288.453, 650.106
3.73459 , 288.431, 667.99
3.73559 , 288.409, 688.418
3.73659 , 288.386, 711.684
3.73759 , 288.364, 738.134
3.73859 , 288.342, 768.182
3.73959 , 288.32, 802.321
3.74059 , 288.298, 841.143
3.74159 , 288.277, 885.362
3.74259 , 288.255, 935.845
3.74359 , 288.234, 993.655
3.74459 , 288.212, 1060.1
3.74559 , 288.191, 1136.79
3.74659 , 288.17, 1225.78
3.74759 , 288.149, 1329.64
3.74859 , 288.128, 1451.68
3.74959 , 288.107, 1596.2
3.75059 , 288.087, 1768.85
3.75159 , 288.067, 1977.19
3.75259 , 288.046, 2231.55
3.75359 , 288.026, 2546.26
3.75459 , 288.006, 2941.75
3.75559 , 287.987, 3447.87
3.75659 , 287.967, 4109.71
3.75759 , 287.948, 4997.88
3.75859 , 287.928, 6228.15
3.75959 , 287.909, 8001.01
3.76059 , 287.89, 10688.6
3.76159 , 287.872, 15047
3.76259 , 287.853, 22811.1
3.76359 , 287.835, 38729.7
3.76459 , 287.817, 80008.9
3.76559 , 287.799, 253711
3.76659 , 287.781, 5.32135e+06
3.76759 , 287.764, 800136
3.76859 , 287.747, 140604
3.76959 , 287.73, 56388.4
3.77059 , 287.713, 30257.3
3.77159 , 287.696, 18878.7
3.77259 , 287.68, 12923
3.77359 , 287.664, 9420.45
3.77459 , 287.648, 7187.59
3.77559 , 287.633, 5677.29
3.77659 , 287.617, 4608.29
3.77759 , 287.602, 3824.01
3.77859 , 287.588, 3231.63
3.77959 , 287.573, 2773.3
3.78059 , 287.559, 2411.45
3.78159 , 287.545, 2120.82
3.78259 , 287.532, 1883.9
3.78359 , 287.518, 1688.28
3.78459 , 287.506, 1524.91
3.78559 , 287.493, 1387.13
3.78659 , 287.481, 1269.89
3.78759 , 287.469, 1169.35
3.78859 , 287.457, 1082.53
3.78959 , 287.446, 1007.09
3.79059 , 287.435, 941.168
3.79159 , 287.425, 883.273
3.79259 , 287.415, 832.201
3.79359 , 287.405, 786.97
3.79459 , 287.396, 746.77
3.79559 , 287.387, 710.933
3.79659 , 287.379, 678.901
3.79759 , 287.371, 650.206
3.79859 , 287.363, 624.453
3.79959 , 287.356, 601.309
3.80059 , 287.35, 580.49
3.80159 , 287.343, 561.753
3.80259 , 287.338, 544.89
3.80359 , 287.333, 529.723
3.80459 , 287.328, 516.098
3.80559 , 287.324, 503.883
3.80659 , 287.32, 492.963
3.80759 , 287.317, 483.239
3.80859 , 287.315, 474.626
3.80959 , 287.313, 467.052
3.81059 , 287.311, 460.452
3.81159 , 287.311, 454.774
3.81259 , 287.311, 449.973
3.81359 , 287.311, 446.011
3.81459 , 287.312, 442.857
3.81559 , 287.314, 440.488
3.81659 , 287.317, 438.886
3.81759 , 287.32, 438.037
3.81859 , 287.324, 437.935
3.81959 , 287.328, 438.579
3.82059 , 287.333, 439.971
3.82159 , 287.34, 442.122
3.82259 , 287.346, 445.046
3.82359 , 287.354, 448.762
3.82459 , 287.348, 453.465
3.82559 , 287.335, 458.852
3.82659 , 287.323, 465.131
3.82759 , 287.312, 472.348
3.82859 , 287.301, 480.558
3.82959 , 287.291, 489.826
3.83059 , 287.283, 500.227
3.83159 , 287.275, 511.847
3.83259 , 287.268, 524.786
3.83359 , 287.262, 539.158
3.83459 , 287.257, 555.096
3.83559 , 287.253, 572.752
3.83659 , 287.25, 592.304
3.83759 , 287.249, 613.954
3.83859 , 287.248, 637.94
3.83959 , 287.249, 664.538
3.84059 , 287.25, 694.068
3.84159 , 287.253, 726.909
3.84259 , 287.257, 763.506
3.84359 , 287.263, 804.385
3.84459 , 287.269, 850.173
3.84559 , 287.277, 901.619
3.84659 , 287.287, 959.628
3.84759 , 287.298, 1025.29
3.84859 , 287.31, 1099.96
3.84959 , 287.324, 1185.27
3.85059 , 287.339, 1283.28
3.85159 , 287.356, 1396.56
3.85259 , 287.375, 1528.39
3.85359 , 287.395, 1682.97
3.85459 , 287.417, 1865.75
3.85559 , 287.441, 2083.95
3.85659 , 287.467, 2347.26
3.85759 , 287.255, 2669.06
3.85859 , 286.256, 3067.57
3.85959 , 285.301, 3569.39
3.86059 , 284.388, 4213.41
3.86159 , 283.512, 5058.78
3.86259 , 282.671, 6198.87
3.86359 , 281.864, 7788.24
3.86459 , 281.087, 10097.8
3.86559 , 280.339, 13638.3
3.86659 , 279.618, 19468.8
3.86759 , 278.922, 30090.4
3.86859 , 278.25, 52653.3
3.86959 , 277.6, 115083
3.87059 , 276.97, 424134
3.87159 , 276.361, 6.66098e+07
3.87259 , 275.77, 601146
3.87359 , 275.196, 137174
3.87459 , 274.64, 59291
3.87559 , 274.098, 32951.9
3.87659 , 273.572, 20975.6
3.87759 , 273.059, 14540.5
3.87859 , 272.56, 10689
3.87959 , 272.074, 8202.59
3.88059 , 271.599, 6504.86
3.88159 , 271.136, 5294.44
3.88259 , 270.684, 4401.3
3.88359 , 270.242, 3723.58
3.88459 , 269.81, 3197.29
3.88559 , 269.388, 2780.53
