a(radian), a(degree) , Eruling, Ebend, Ebend
3.68659, 211.226 , 291.247, 85169.1, 1
3.68759, 211.283 , 291.197, 388349, 1
3.68859, 211.341 , 291.147, 2.0014e+07, 1
3.68959, 211.398 , 291.096, 238170, 1
3.69059, 211.455 , 291.045, 67059.7, 1
3.69159, 211.513 , 290.994, 31332.2, 1
3.69259, 211.57 , 290.943, 18264.9, 1
3.69359, 211.627 , 290.892, 12084.7, 1
3.69459, 211.685 , 290.841, 8692.95, 1
3.69559, 211.742 , 290.789, 6643.57, 1
3.69659, 211.799 , 290.738, 5321.28, 1
3.69759, 211.856 , 290.686, 4428.59, 1
3.69859, 211.914 , 290.634, 3807.75, 1
3.69959, 211.971 , 290.582, 3369.23, 1
3.70059, 212.028 , 290.529, 3059.61, 1
3.70159, 212.086 , 290.477, 2846.01, 1
3.70259, 212.143 , 290.424, 2707.97, 1
3.70359, 212.2 , 290.371, 2633.12, 1
3.70459, 212.258 , 290.318, 2614.75, 1
3.70559, 212.315 , 290.265, 2650.65, 1
3.70659, 212.372 , 290.212, 2742.71, 1
