a(radian), a(degree) , Eruling, Ebend, Ebend
3.51759, 201.543 , 65.5591, 100.961, 1
3.51859, 201.601 , 65.5563, 103.238, 1
3.51959, 201.658 , 65.5536, 105.609, 1
3.52059, 201.715 , 65.5508, 108.078, 1
3.52159, 201.772 , 65.548, 110.651, 1
3.52259, 201.83 , 65.5452, 113.334, 1
3.52359, 201.887 , 65.5424, 116.133, 1
3.52459, 201.944 , 65.5395, 119.055, 1
3.52559, 202.002 , 65.5367, 122.107, 1
3.52659, 202.059 , 65.5339, 125.297, 1
3.52759, 202.116 , 65.531, 128.633, 1
3.52859, 202.173 , 65.5282, 132.124, 1
3.52959, 202.231 , 65.5253, 135.78, 1
3.53059, 202.288 , 65.5225, 139.612, 1
3.53159, 202.345 , 65.5196, 143.631, 1
3.53259, 202.403 , 65.5167, 147.849, 1
3.53359, 202.46 , 65.5138, 152.28, 1
3.53459, 202.517 , 65.5052, 155.859, 1
3.53559, 202.575 , 65.496, 160.769, 1
3.53659, 202.632 , 65.4869, 165.94, 1
3.53759, 202.689 , 65.4777, 171.39, 1
3.53859, 202.746 , 65.4684, 177.14, 1
3.53959, 202.804 , 65.4592, 183.212, 1
3.54059, 202.861 , 65.4499, 189.631, 1
3.54159, 202.918 , 65.4406, 196.424, 1
3.54259, 202.976 , 65.4312, 203.621, 1
3.54359, 203.033 , 65.4219, 211.256, 1
3.54459, 203.09 , 65.4125, 219.364, 1
3.54559, 203.147 , 65.403, 227.986, 1
3.54659, 203.205 , 65.3936, 237.167, 1
3.54759, 203.262 , 65.3841, 246.957, 1
3.54859, 203.319 , 65.3746, 257.411, 1
3.54959, 203.377 , 65.365, 268.592, 1
3.55059, 203.434 , 65.3555, 280.569, 1
3.55159, 203.491 , 65.3459, 293.42, 1
3.55259, 203.549 , 65.3362, 307.235, 1
3.55359, 203.606 , 65.3266, 322.114, 1
3.55459, 203.663 , 65.3169, 338.169, 1
3.55559, 203.72 , 65.3072, 355.53, 1
3.55659, 203.778 , 65.2974, 374.346, 1
3.55759, 203.835 , 65.2876, 394.786, 1
3.55859, 203.892 , 65.2778, 417.045, 1
3.55959, 203.95 , 65.268, 441.351, 1
