a(radian),a(degree),Eruling, Ebend
0.259,14.8396, 84.1283, 26.1349, 1
0.26,14.8969, 84.1237, 25.9882, 1
0.261,14.9542, 84.1191, 25.8429, 1
0.262,15.0115, 84.1144, 25.699, 1
0.263,15.0688, 84.1098, 25.5564, 1
0.264,15.1261, 84.1051, 25.4151, 1
0.265,15.1834, 84.1005, 25.2751, 1
0.266,15.2407, 84.0958, 25.1364, 1
0.267,15.298, 84.0911, 24.999, 1
0.268,15.3553, 84.0863, 24.8628, 1
0.269,15.4126, 84.0816, 24.7279, 1
0.27,15.4699, 84.0769, 24.5942, 1
0.271,15.5272, 84.0721, 24.4617, 1
0.272,15.5845, 84.0673, 24.3304, 1
0.273,15.6417, 84.0626, 24.2003, 1
0.274,15.699, 84.0578, 24.0713, 1
0.275,15.7563, 84.053, 23.9435, 1
0.276,15.8136, 84.0481, 23.8169, 1
0.277,15.8709, 84.0433, 23.6913, 1
0.278,15.9282, 84.0384, 23.5669, 1
0.279,15.9855, 84.0336, 23.4436, 1
0.28,16.0428, 84.0287, 23.3213, 1
0.281,16.1001, 84.0238, 23.2001, 1
0.282,16.1574, 84.0189, 23.08, 1
0.283,16.2147, 84.014, 22.9609, 1
0.284,16.272, 84.0091, 22.8429, 1
0.285,16.3293, 84.0041, 22.7259, 1
0.286,16.3866, 83.9991, 22.6099, 1
0.287,16.4439, 83.9942, 22.4948, 1
0.288,16.5012, 83.9892, 22.3808, 1
0.289,16.5585, 83.9842, 22.2677, 1
0.29,16.6158, 83.9792, 22.1556, 1
0.291,16.6731, 83.9741, 22.0445, 1
0.292,16.7304, 83.9691, 21.9342, 1
0.293,16.7877, 83.964, 21.8249, 1
0.294,16.845, 83.959, 21.7166, 1
0.295,16.9023, 83.9539, 21.6091, 1
0.296,16.9596, 83.9488, 21.5025, 1
0.297,17.0168, 83.9437, 21.3968, 1
0.298,17.0741, 83.9386, 21.292, 1
0.299,17.1314, 83.9334, 21.1881, 1
0.3,17.1887, 83.9283, 21.085, 1
0.301,17.246, 83.9231, 20.9827, 1
0.302,17.3033, 83.9179, 20.8813, 1
0.303,17.3606, 83.9127, 20.7807, 1
0.304,17.4179, 83.9075, 20.6809, 1
0.305,17.4752, 83.9023, 20.582, 1
0.306,17.5325, 83.8971, 20.4838, 1
0.307,17.5898, 83.8918, 20.3865, 1
0.308,17.6471, 83.8865, 20.2899, 1
0.309,17.7044, 83.8813, 20.194, 1
0.31,17.7617, 83.876, 20.099, 1
0.311,17.819, 83.8707, 20.0047, 1
0.312,17.8763, 83.8654, 19.9111, 1
0.313,17.9336, 83.86, 19.8183, 1
0.314,17.9909, 83.8547, 19.7263, 1
0.315,18.0482, 83.8493, 19.6349, 1
0.316,18.1055, 83.8439, 19.5443, 1
0.317,18.1628, 83.8386, 19.4543, 1
0.318,18.2201, 83.8332, 19.3651, 1
0.319,18.2774, 83.8277, 19.2766, 1
0.32,18.3346, 83.8223, 19.1887, 1
0.321,18.3919, 83.8169, 19.1015, 1
0.322,18.4492, 83.8114, 19.015, 1
0.323,18.5065, 83.8059, 18.9292, 1
0.324,18.5638, 83.8005, 18.844, 1
0.325,18.6211, 83.795, 18.7595, 1
0.326,18.6784, 83.7894, 18.6756, 1
0.327,18.7357, 83.7839, 18.5923, 1
0.328,18.793, 83.7784, 18.5097, 1
0.329,18.8503, 83.7728, 18.4277, 1
0.33,18.9076, 83.7672, 18.3463, 1
0.331,18.9649, 83.7617, 18.2655, 1
0.332,19.0222, 83.7561, 18.1854, 1
0.333,19.0795, 83.7504, 18.1058, 1
0.334,19.1368, 83.7448, 18.0268, 1
0.335,19.1941, 83.7392, 17.9484, 1
0.336,19.2514, 83.7335, 17.8706, 1
0.337,19.3087, 83.7279, 17.7934, 1
0.338,19.366, 83.7222, 17.7167, 1
0.339,19.4233, 83.7165, 17.6406, 1
0.34,19.4806, 83.7108, 17.565, 1
0.341,19.5379, 83.705, 17.49, 1
0.342,19.5952, 83.6993, 17.4156, 1
0.343,19.6525, 83.6935, 17.3416, 1
0.344,19.7097, 83.6878, 17.2683, 1
0.345,19.767, 83.682, 17.1954, 1
0.346,19.8243, 83.6762, 17.1231, 1
0.347,19.8816, 83.6704, 17.0513, 1
0.348,19.9389, 83.6646, 16.98, 1
0.349,19.9962, 83.6587, 16.9092, 1
0.35,20.0535, 83.6529, 16.8389, 1
0.351,20.1108, 83.647, 16.7691, 1
0.352,20.1681, 83.6411, 16.6998, 1
0.353,20.2254, 83.6352, 16.631, 1
0.354,20.2827, 83.6293, 16.5627, 1
0.355,20.34, 83.6234, 16.4948, 1
0.356,20.3973, 83.6174, 16.4274, 1
0.357,20.4546, 83.6115, 16.3606, 1
0.358,20.5119, 83.6055, 16.2941, 1
0.359,20.5692, 83.5995, 16.2281, 1
0.36,20.6265, 83.5935, 16.1626, 1
0.361,20.6838, 83.5875, 16.0976, 1
0.362,20.7411, 83.5815, 16.033, 1
0.363,20.7984, 83.5755, 15.9688, 1
0.364,20.8557, 83.5694, 15.9051, 1
0.365,20.913, 83.5633, 15.8418, 1
0.366,20.9703, 83.5573, 15.7789, 1
0.367,21.0276, 83.5512, 15.7165, 1
0.368,21.0848, 83.5451, 15.6545, 1
0.369,21.1421, 83.5389, 15.5929, 1
0.37,21.1994, 83.5328, 15.5317, 1
0.371,21.2567, 83.5266, 15.4709, 1
0.372,21.314, 83.5205, 15.4106, 1
0.373,21.3713, 83.5143, 15.3506, 1
0.374,21.4286, 83.5081, 15.2911, 1
0.375,21.4859, 83.5019, 15.2319, 1
0.376,21.5432, 83.4956, 15.1731, 1
0.377,21.6005, 83.4894, 15.1148, 1
0.378,21.6578, 83.4831, 15.0568, 1
0.379,21.7151, 83.4769, 14.9992, 1
0.38,21.7724, 83.4706, 14.9419, 1
0.381,21.8297, 83.4643, 14.8851, 1
